iter	MultiClass
0	1.031025939
1	0.899742256
2	0.7511688812
3	0.6617947226
4	0.6135077953
5	0.5562504155
6	0.5151694936
7	0.4865744274
8	0.4384612848
9	0.4075301916
10	0.3925026786
11	0.3632998172
12	0.3476780523
13	0.3364723178
14	0.327575738
15	0.3185222834
16	0.3182146231
17	0.3097006485
18	0.3076015188
19	0.3073363697
20	0.2942003949
21	0.2874917502
22	0.2832130657
23	0.2780151487
24	0.2705753232
25	0.2659468039
26	0.2610057237
27	0.2571379145
28	0.254196334
29	0.2522860444
30	0.2470781557
31	0.2442670654
32	0.2354337496
33	0.2336430644
34	0.227311754
35	0.221929893
36	0.2192434697
37	0.2172484212
38	0.2132858052
39	0.208741893
40	0.2075563878
41	0.2052224171
42	0.2008535952
43	0.1988769539
44	0.197866852
45	0.1968884257
46	0.1937489195
47	0.1897530142
48	0.1860369773
49	0.1844913714
50	0.1812049038
51	0.1791157811
52	0.1778068535
53	0.1764128764
54	0.1751806567
55	0.1745301768
56	0.1722087419
57	0.1695882597
58	0.1677872785
59	0.165714026
60	0.1651141545
61	0.1635294996
62	0.1624724574
63	0.1605204502
64	0.1583733071
65	0.1552974923
66	0.1546337366
67	0.1530190337
68	0.1517140545
69	0.1502985165
70	0.1471485132
71	0.1459906336
72	0.1452234064
73	0.1446471733
74	0.1435531502
75	0.1430674088
76	0.142229272
77	0.1414511836
78	0.1400767416
79	0.1387189007
80	0.137803501
81	0.1356448424
82	0.1351541633
83	0.1337852232
84	0.1327355701
85	0.1308723157
86	0.1296269119
87	0.1286040692
88	0.1269837949
89	0.1254777204
90	0.1245173055
91	0.1230670851
92	0.121891962
93	0.1183041806
94	0.1173031079
95	0.1163812642
96	0.1139351974
97	0.113637174
98	0.111912819
99	0.1110957073
