iter	Passed	Remaining
0	21	2120
1	55	2706
2	76	2479
3	121	2906
4	143	2730
5	186	2922
6	222	2962
7	256	2946
8	283	2868
9	308	2776
10	334	2707
11	362	2655
12	392	2628
13	399	2453
14	427	2420
15	455	2392
16	484	2365
17	510	2324
18	534	2280
19	562	2248
20	589	2217
21	618	2192
22	644	2159
23	668	2116
24	697	2092
25	724	2063
26	751	2030
27	778	2000
28	808	1979
29	838	1956
30	866	1928
31	898	1908
32	928	1884
33	958	1860
34	990	1840
35	1020	1814
36	1050	1788
37	1080	1762
38	1115	1745
39	1155	1733
40	1185	1705
41	1215	1678
42	1245	1650
43	1274	1622
44	1305	1595
45	1335	1567
46	1361	1535
47	1390	1506
48	1416	1474
49	1450	1450
50	1542	1481
51	1594	1472
52	1629	1445
53	1660	1414
54	1686	1380
55	1711	1344
56	1738	1311
57	1767	1279
58	1793	1246
59	1824	1216
60	1852	1184
61	1881	1152
62	1910	1122
63	1946	1095
64	1991	1072
65	2042	1052
66	2083	1025
67	2124	999
68	2164	972
69	2207	946
70	2248	918
71	2292	891
72	2339	865
73	2371	833
74	2397	799
75	2419	763
76	2443	729
77	2468	696
78	2496	663
79	2521	630
80	2545	597
81	2572	564
82	2600	532
83	2627	500
84	2653	468
85	2678	436
86	2710	404
87	2739	373
88	2766	341
89	2801	311
90	2841	281
91	2875	250
92	2906	218
93	2936	187
94	2966	156
95	2996	124
96	3027	93
97	3060	62
98	3092	31
99	3117	0
